"","Tournament_Game","Year","Month","Day","Team1","Team1_Seed","Team1_Score","Team2","Team2_Seed","Team2_Score"
"1","NCAA, Southeast - Second Round","2011","3","17","Pitt",1,74,"UNC Asheville",16,51
"2","NCAA, Southeast - Second Round","2011","3","17","Florida",2,79,"UCSB",15,51
"3","NCAA, West - Second Round","2011","3","17","San Diego State",2,68,"Northern Colorado",15,50
"4","NCAA, West - Second Round","2011","3","17","UConn",3,81,"Bucknell",14,52
"5","NCAA, Southeast - Second Round","2011","3","17","Wofford",14,66,"BYU",3,74
"6","NCAA, Southwest - Second Round","2011","3","17","Morehead State",13,62,"Louisville",4,61
"7","NCAA, East - Second Round","2011","3","17","Princeton",13,57,"Kentucky",4,59
"8","NCAA, Southeast - Second Round","2011","3","17","Wisconsin",4,72,"Belmont",13,58
"9","NCAA, Southeast - Second Round","2011","3","17","Utah State",12,68,"Kansas State",5,73
"10","NCAA, Southwest - Second Round","2011","3","17","Vanderbilt",5,66,"Richmond",12,69
"11","NCAA, East - Second Round","2011","3","17","West Virginia",5,84,"Clemson",12,76
"12","NCAA, West - Second Round","2011","3","17","Missouri",11,63,"Cincinnati",6,78
"13","NCAA, Southeast - Second Round","2011","3","17","St Johns NY",6,71,"Gonzaga",11,86
"14","NCAA, West - Second Round","2011","3","17","Temple",7,66,"Penn State",10,64
"15","NCAA, Southeast - Second Round","2011","3","17","UCLA",7,78,"Michigan State",10,76
"16","NCAA, Southeast - Second Round","2011","3","17","Old Dominion",9,58,"Butler",8,60
"17","NCAA, West - Second Round","2011","3","18","Hampton",16,45,"Duke",1,87
"18","NCAA, Southwest - Second Round","2011","3","18","Kansas",1,72,"Boston University",16,53
"19","NCAA, East - Second Round","2011","3","18","UTSA",16,46,"Ohio State",1,75
"20","NCAA, East - Second Round","2011","3","18","UNC",2,102,"LIU",15,87
"21","NCAA, Southwest - Second Round","2011","3","18","Notre Dame",2,69,"Akron",15,56
"22","NCAA, Southwest - Second Round","2011","3","18","St Peters",14,43,"Purdue",3,65
"23","NCAA, East - Second Round","2011","3","18","Syracuse",3,77,"Indiana State",14,60
"24","NCAA, West - Second Round","2011","3","18","Texas",4,85,"Oakland",13,81
"25","NCAA, West - Second Round","2011","3","18","Memphis",12,75,"Arizona",5,77
"26","NCAA, Southwest - Second Round","2011","3","18","VCU",11,74,"Georgetown",6,56
"27","NCAA, East - Second Round","2011","3","18","Xavier",6,55,"Marquette",11,66
"28","NCAA, Southwest - Second Round","2011","3","18","Texas AM",7,50,"Florida State",10,57
"29","NCAA, East - Second Round","2011","3","18","Washington",7,68,"Georgia",10,65
"30","NCAA, Southwest - Second Round","2011","3","18","UNLV",8,62,"Illinois",9,73
"31","NCAA, West - Second Round","2011","3","18","Tennessee",9,45,"Michigan",8,75
"32","NCAA, East - Second Round","2011","3","18","Villanova",9,57,"George Mason",8,61
"33","NCAA, Southeast - Third Round","2011","3","19","Pitt",1,70,"Butler",8,71
"34","NCAA, West - Third Round","2011","3","19","Temple",7,64,"San Diego State",2,71
"35","NCAA, Southeast - Third Round","2011","3","19","UCLA",7,65,"Florida",2,73
"36","NCAA, West - Third Round","2011","3","19","UConn",3,69,"Cincinnati",6,58
"37","NCAA, Southeast - Third Round","2011","3","19","Gonzaga",11,67,"BYU",3,89
"38","NCAA, East - Third Round","2011","3","19","West Virginia",5,63,"Kentucky",4,71
"39","NCAA, Southeast - Third Round","2011","3","19","Wisconsin",4,70,"Kansas State",5,65
"40","NCAA, Southwest - Third Round","2011","3","19","Richmond",12,65,"Morehead State",13,48
"41","NCAA, Southwest - Third Round","2011","3","20","Kansas",1,73,"Illinois",9,59
"42","NCAA, West - Third Round","2011","3","20","Michigan",8,71,"Duke",1,73
"43","NCAA, East - Third Round","2011","3","20","Ohio State",1,98,"George Mason",8,66
"44","NCAA, Southwest - Third Round","2011","3","20","Notre Dame",2,57,"Florida State",10,71
"45","NCAA, East - Third Round","2011","3","20","Washington",7,83,"UNC",2,86
"46","NCAA, East - Third Round","2011","3","20","Syracuse",3,62,"Marquette",11,66
"47","NCAA, Southwest - Third Round","2011","3","20","VCU",11,94,"Purdue",3,76
"48","NCAA, West - Third Round","2011","3","20","Texas",4,69,"Arizona",5,70
"49","NCAA, West - Regional Semifinal","2011","3","24","Duke",1,77,"Arizona",5,93
"50","NCAA, Southeast - Regional Semifinal","2011","3","24","Florida",2,83,"BYU",3,74
"51","NCAA, West - Regional Semifinal","2011","3","24","San Diego State",2,67,"UConn",3,74
"52","NCAA, Southeast - Regional Semifinal","2011","3","24","Wisconsin",4,54,"Butler",8,61
"53","NCAA, East - Regional Semifinal","2011","3","25","Ohio State",1,60,"Kentucky",4,62
"54","NCAA, Southwest - Regional Semifinal","2011","3","25","Richmond",12,57,"Kansas",1,77
"55","NCAA, East - Regional Semifinal","2011","3","25","UNC",2,81,"Marquette",11,63
"56","NCAA, Southwest - Regional Semifinal","2011","3","25","VCU",11,72,"Florida State",10,71
"57","NCAA, Southeast - Regional Final","2011","3","26","Florida",2,71,"Butler",8,74
"58","NCAA, West - Regional Final","2011","3","26","UConn",3,65,"Arizona",5,63
"59","NCAA, Southwest - Regional Final","2011","3","27","VCU",11,71,"Kansas",1,61
"60","NCAA, East - Regional Final","2011","3","27","UNC",2,69,"Kentucky",4,76
"61","NCAA, National - National Semifinal","2011","4","2","Kentucky",4,55,"UConn",3,56
"62","NCAA, National - National Semifinal","2011","4","2","VCU",11,62,"Butler",8,70
"63","NCAA, National - National Final","2011","4","4","UConn",3,53,"Butler",8,41
"64","NCAA, East - Second Round","2012","3","15","Syracuse",1,72,"UNC Asheville",16,65
"65","NCAA, South - Second Round","2012","3","15","Western Kentucky",16,66,"Kentucky",1,81
"66","NCAA, East - Second Round","2012","3","15","Ohio State",2,78,"Loyola MD",15,59
"67","NCAA, West - Second Round","2012","3","15","Marquette",3,88,"BYU",14,68
"68","NCAA, South - Second Round","2012","3","15","South Dakota State",14,60,"Baylor",3,68
"69","NCAA, West - Second Round","2012","3","15","Louisville",4,69,"Davidson",13,62
"70","NCAA, South - Second Round","2012","3","15","New Mexico State",13,66,"Indiana",4,79
"71","NCAA, East - Second Round","2012","3","15","Wisconsin",4,73,"Montana",13,49
"72","NCAA, West - Second Round","2012","3","15","New Mexico",5,75,"Long Beach State",12,68
"73","NCAA, East - Second Round","2012","3","15","Vanderbilt",5,79,"Harvard",12,70
"74","NCAA, South - Second Round","2012","3","15","Wichita State",5,59,"VCU",12,62
"75","NCAA, West - Second Round","2012","3","15","Murray State",6,58,"Colorado State",11,41
"76","NCAA, South - Second Round","2012","3","15","UNLV",6,64,"Colorado",11,68
"77","NCAA, East - Second Round","2012","3","15","West Virginia",10,54,"Gonzaga",7,77
"78","NCAA, South - Second Round","2012","3","15","Iowa State",8,77,"UConn",9,64
"79","NCAA, East - Second Round","2012","3","15","Southern Miss",9,64,"Kansas State",8,70
"80","NCAA, West - Second Round","2012","3","16","Michigan State",1,89,"LIU",16,67
"81","NCAA, Midwest - Second Round","2012","3","16","Vermont",16,58,"UNC",1,77
"82","NCAA, Midwest - Second Round","2012","3","16","Kansas",2,65,"Detroit",15,50
"83","NCAA, South - Second Round","2012","3","16","Lehigh",15,75,"Duke",2,70
"84","NCAA, West - Second Round","2012","3","16","Norfolk State",15,86,"Missouri",2,84
"85","NCAA, Midwest - Second Round","2012","3","16","Georgetown",3,74,"Belmont",14,59
"86","NCAA, East - Second Round","2012","3","16","St Bonaventure",14,63,"Florida State",3,66
"87","NCAA, Midwest - Second Round","2012","3","16","Ohio",13,65,"Michigan",4,60
"88","NCAA, Midwest - Second Round","2012","3","16","Temple",5,44,"South Florida",12,58
"89","NCAA, Midwest - Second Round","2012","3","16","San Diego State",6,65,"NC State",11,79
"90","NCAA, East - Second Round","2012","3","16","Texas",11,59,"Cincinnati",6,65
"91","NCAA, Midwest - Second Round","2012","3","16","Saint Marys",7,69,"Purdue",10,72
"92","NCAA, West - Second Round","2012","3","16","Virginia",10,45,"Florida",7,71
"93","NCAA, South - Second Round","2012","3","16","Xavier",10,67,"Notre Dame",7,63
"94","NCAA, Midwest - Second Round","2012","3","16","Creighton",8,58,"Alabama",9,57
"95","NCAA, West - Second Round","2012","3","16","Saint Louis",9,61,"Memphis",8,54
"96","NCAA, South - Third Round","2012","3","17","Kentucky",1,87,"Iowa State",8,71
"97","NCAA, East - Third Round","2012","3","17","Syracuse",1,75,"Kansas State",8,59
"98","NCAA, East - Third Round","2012","3","17","Ohio State",2,73,"Gonzaga",7,66
"99","NCAA, South - Third Round","2012","3","17","Colorado",11,63,"Baylor",3,80
"100","NCAA, West - Third Round","2012","3","17","Murray State",6,53,"Marquette",3,62
"101","NCAA, West - Third Round","2012","3","17","New Mexico",5,56,"Louisville",4,59
"102","NCAA, South - Third Round","2012","3","17","VCU",12,61,"Indiana",4,63
"103","NCAA, East - Third Round","2012","3","17","Wisconsin",4,60,"Vanderbilt",5,57
"104","NCAA, Midwest - Third Round","2012","3","18","UNC",1,87,"Creighton",8,73
"105","NCAA, West - Third Round","2012","3","18","Saint Louis",9,61,"Michigan State",1,65
"106","NCAA, Midwest - Third Round","2012","3","18","Purdue",10,60,"Kansas",2,63
"107","NCAA, East - Third Round","2012","3","18","Florida State",3,56,"Cincinnati",6,62
"108","NCAA, Midwest - Third Round","2012","3","18","NC State",11,66,"Georgetown",3,63
"109","NCAA, West - Third Round","2012","3","18","Norfolk State",15,50,"Florida",7,84
"110","NCAA, South - Third Round","2012","3","18","Xavier",10,70,"Lehigh",15,58
"111","NCAA, Midwest - Third Round","2012","3","18","South Florida",12,56,"Ohio",13,62
"112","NCAA, West - Regional Semifinal","2012","3","22","Michigan State",1,44,"Louisville",4,57
"113","NCAA, East - Regional Semifinal","2012","3","22","Wisconsin",4,63,"Syracuse",1,64
"114","NCAA, East - Regional Semifinal","2012","3","22","Ohio State",2,81,"Cincinnati",6,66
"115","NCAA, West - Regional Semifinal","2012","3","22","Marquette",3,58,"Florida",7,68
"116","NCAA, South - Regional Semifinal","2012","3","23","Kentucky",1,102,"Indiana",4,90
"117","NCAA, Midwest - Regional Semifinal","2012","3","23","Ohio",13,65,"UNC",1,73
"118","NCAA, Midwest - Regional Semifinal","2012","3","23","NC State",11,57,"Kansas",2,60
"119","NCAA, South - Regional Semifinal","2012","3","23","Xavier",10,70,"Baylor",3,75
"120","NCAA, East - Regional Final","2012","3","24","Syracuse",1,70,"Ohio State",2,77
"121","NCAA, West - Regional Final","2012","3","24","Louisville",4,72,"Florida",7,68
"122","NCAA, South - Regional Final","2012","3","25","Kentucky",1,82,"Baylor",3,70
"123","NCAA, Midwest - Regional Final","2012","3","25","UNC",1,67,"Kansas",2,80
"124","NCAA, National - National Semifinal","2012","3","31","Louisville",4,61,"Kentucky",1,69
"125","NCAA, National - National Semifinal","2012","3","31","Ohio State",2,62,"Kansas",2,64
"126","NCAA, National - National Final","2012","4","2","Kentucky",1,67,"Kansas",2,59
"127","NCAA, Midwest - Second Round","2013","3","21","North Carolina AT",16,48,"Louisville",1,79
"128","NCAA, West - Second Round","2013","3","21","Southern",16,58,"Gonzaga",1,64
"129","NCAA, East - Second Round","2013","3","21","Marquette",3,59,"Davidson",14,58
"130","NCAA, West - Second Round","2013","3","21","New Mexico",3,62,"Harvard",14,68
"131","NCAA, Midwest - Second Round","2013","3","21","Valparaiso",14,54,"Michigan State",3,65
"132","NCAA, Midwest - Second Round","2013","3","21","Saint Louis",4,64,"New Mexico State",13,44
"133","NCAA, South - Second Round","2013","3","21","South Dakota State",13,56,"Michigan",4,71
"134","NCAA, East - Second Round","2013","3","21","Syracuse",4,81,"Montana",13,34
"135","NCAA, East - Second Round","2013","3","21","UNLV",5,61,"California",12,64
"136","NCAA, Midwest - Second Round","2013","3","21","Oregon",12,68,"Oklahoma State",5,55
"137","NCAA, South - Second Round","2013","3","21","VCU",5,88,"Akron",12,42
"138","NCAA, West - Second Round","2013","3","21","Belmont",11,64,"Arizona",6,81
"139","NCAA, East - Second Round","2013","3","21","Butler",6,68,"Bucknell",11,56
"140","NCAA, Midwest - Second Round","2013","3","21","Saint Marys",11,52,"Memphis",6,54
"141","NCAA, Midwest - Second Round","2013","3","21","Missouri",9,72,"Colorado State",8,84
"142","NCAA, West - Second Round","2013","3","21","Wichita State",9,73,"Pitt",8,55
"143","NCAA, East - Second Round","2013","3","22","James Madison",16,62,"Indiana",1,83
"144","NCAA, South - Second Round","2013","3","22","Western Kentucky",16,57,"Kansas",1,64
"145","NCAA, Midwest - Second Round","2013","3","22","Duke",2,73,"Albany NY",15,61
"146","NCAA, South - Second Round","2013","3","22","Georgetown",2,68,"Florida Gulf Coast",15,78
"147","NCAA, West - Second Round","2013","3","22","Ohio State",2,95,"Iona",15,70
"148","NCAA, East - Second Round","2013","3","22","Pacific",15,49,"Miami FL",2,78
"149","NCAA, South - Second Round","2013","3","22","Northwestern State",14,47,"Florida",3,79
"150","NCAA, West - Second Round","2013","3","22","La Salle",13,63,"Kansas State",4,61
"151","NCAA, West - Second Round","2013","3","22","Wisconsin",5,46,"Ole Miss",12,57
"152","NCAA, South - Second Round","2013","3","22","UCLA",6,63,"Minnesota",11,83
"153","NCAA, Midwest - Second Round","2013","3","22","Creighton",7,67,"Cincinnati",10,63
"154","NCAA, East - Second Round","2013","3","22","Illinois",7,57,"Colorado",10,49
"155","NCAA, West - Second Round","2013","3","22","Notre Dame",7,58,"Iowa State",10,76
"156","NCAA, South - Second Round","2013","3","22","San Diego State",7,70,"Oklahoma",10,55
"157","NCAA, East - Second Round","2013","3","22","Temple",9,76,"NC State",8,72
"158","NCAA, South - Second Round","2013","3","22","Villanova",9,71,"UNC",8,78
"159","NCAA, Midwest - Third Round","2013","3","23","Louisville",1,82,"Colorado State",8,56
"160","NCAA, West - Third Round","2013","3","23","Wichita State",9,76,"Gonzaga",1,70
"161","NCAA, East - Third Round","2013","3","23","Marquette",3,74,"Butler",6,72
"162","NCAA, Midwest - Third Round","2013","3","23","Michigan State",3,70,"Memphis",6,48
"163","NCAA, Midwest - Third Round","2013","3","23","Saint Louis",4,57,"Oregon",12,74
"164","NCAA, East - Third Round","2013","3","23","Syracuse",4,66,"California",12,60
"165","NCAA, South - Third Round","2013","3","23","VCU",5,53,"Michigan",4,78
"166","NCAA, West - Third Round","2013","3","23","Harvard",14,51,"Arizona",6,74
"167","NCAA, South - Third Round","2013","3","24","UNC",8,58,"Kansas",1,70
"168","NCAA, East - Third Round","2013","3","24","Temple",9,52,"Indiana",1,58
"169","NCAA, Midwest - Third Round","2013","3","24","Duke",2,66,"Creighton",7,50
"170","NCAA, East - Third Round","2013","3","24","Miami FL",2,63,"Illinois",7,59
"171","NCAA, West - Third Round","2013","3","24","Ohio State",2,78,"Iowa State",10,75
"172","NCAA, South - Third Round","2013","3","24","Minnesota",11,64,"Florida",3,78
"173","NCAA, South - Third Round","2013","3","24","San Diego State",7,71,"Florida Gulf Coast",15,81
"174","NCAA, West - Third Round","2013","3","24","Ole Miss",12,74,"La Salle",13,76
"175","NCAA, East - Regional Semifinal","2013","3","28","Syracuse",4,61,"Indiana",1,50
"176","NCAA, East - Regional Semifinal","2013","3","28","Miami FL",2,61,"Marquette",3,71
"177","NCAA, West - Regional Semifinal","2013","3","28","Ohio State",2,73,"Arizona",6,70
"178","NCAA, West - Regional Semifinal","2013","3","28","Wichita State",9,72,"La Salle",13,58
"179","NCAA, South - Regional Semifinal","2013","3","29","Michigan",4,87,"Kansas",1,85
"180","NCAA, Midwest - Regional Semifinal","2013","3","29","Oregon",12,69,"Louisville",1,77
"181","NCAA, Midwest - Regional Semifinal","2013","3","29","Michigan State",3,61,"Duke",2,71
"182","NCAA, South - Regional Semifinal","2013","3","29","Florida Gulf Coast",15,50,"Florida",3,62
"183","NCAA, West - Regional Final","2013","3","30","Wichita State",9,70,"Ohio State",2,66
"184","NCAA, East - Regional Final","2013","3","30","Syracuse",4,55,"Marquette",3,39
"185","NCAA, Midwest - Regional Final","2013","3","31","Louisville",1,85,"Duke",2,63
"186","NCAA, South - Regional Final","2013","3","31","Michigan",4,79,"Florida",3,59
"187","NCAA, National - National Semifinal","2013","4","6","Wichita State",9,68,"Louisville",1,72
