"","Tournament_Game","Year","Month","Day","Team1_Score","Team2_Score","Team1_Seed","Team1","Team2_Seed","Team2"
"210","NCAA, South - Second Round","2014","3","20",53,77,14,"Western Michigan",3,"Syracuse"
"211","NCAA, Midwest - Second Round","2014","3","20",64,71,13,"Manhattan",4,"Louisville"
"212","NCAA, East - Second Round","2014","3","20",93,78,4,"Michigan State",13,"Delaware"
"213","NCAA, West - Second Round","2014","3","20",73,69,4,"San Diego State",13,"New Mexico State"
"214","NCAA, East - Second Round","2014","3","20",61,57,12,"Harvard",5,"Cincinnati"
"215","NCAA, West - Second Round","2014","3","20",75,80,5,"Oklahoma",12,"North Dakota State"
"216","NCAA, Midwest - Second Round","2014","3","20",83,80,5,"Saint Louis",12,"NC State"
"217","NCAA, South - Second Round","2014","3","20",59,60,6,"Ohio State",11,"Dayton"
"218","NCAA, West - Second Round","2014","3","20",87,68,7,"Oregon",10,"BYU"
"219","NCAA, East - Second Round","2014","3","20",81,89,10,"St Josephs",7,"UConn"
"220","NCAA, Midwest - Second Round","2014","3","20",87,85,7,"Texas",10,"Arizona State"
"221","NCAA, South - Second Round","2014","3","20",77,48,9,"Pitt",8,"Colorado"
"222","NCAA, East - Second Round","2014","3","21",70,59,1,"Virginia",16,"Coastal Carolina"
"223","NCAA, West - Second Round","2014","3","21",59,68,16,"Weber State",1,"Arizona"
"224","NCAA, Midwest - Second Round","2014","3","21",64,37,1,"Wichita State",16,"Cal Poly"
"225","NCAA, South - Second Round","2014","3","21",80,69,2,"Kansas",15,"Eastern Kentucky"
"226","NCAA, West - Second Round","2014","3","21",66,76,14,"Louisiana",3,"Creighton"
"227","NCAA, Midwest - Second Round","2014","3","21",78,71,14,"Mercer",3,"Duke"
"228","NCAA, East - Second Round","2014","3","21",75,93,14,"North Carolina Central",3,"Iowa State"
"229","NCAA, South - Second Round","2014","3","21",76,59,4,"UCLA",13,"Tulsa"
"230","NCAA, South - Second Round","2014","3","21",75,77,5,"VCU",12,"Stephen F Austin"
"231","NCAA, West - Second Round","2014","3","21",60,74,11,"Nebraska",6,"Baylor"
"232","NCAA, East - Second Round","2014","3","21",77,79,11,"Providence",6,"UNC"
"233","NCAA, Midwest - Second Round","2014","3","21",86,67,11,"Tennessee",6,"UMass"
"234","NCAA, South - Second Round","2014","3","21",58,53,10,"Stanford",7,"New Mexico"
"235","NCAA, Midwest - Second Round","2014","3","21",56,49,8,"Kentucky",9,"Kansas State"
"236","NCAA, East - Second Round","2014","3","21",71,66,8,"Memphis",9,"George Washington"
"237","NCAA, West - Second Round","2014","3","21",77,85,9,"Oklahoma State",8,"Gonzaga"
"238","NCAA, South - Third Round","2014","3","22",45,61,9,"Pitt",1,"Florida"
"239","NCAA, Midwest - Third Round","2014","3","22",65,79,7,"Texas",2,"Michigan"
"240","NCAA, East - Third Round","2014","3","22",65,77,2,"Villanova",7,"UConn"
"241","NCAA, West - Third Round","2014","3","22",85,77,2,"Wisconsin",7,"Oregon"
"242","NCAA, South - Third Round","2014","3","22",53,55,3,"Syracuse",11,"Dayton"
"243","NCAA, East - Third Round","2014","3","22",80,73,4,"Michigan State",12,"Harvard"
"244","NCAA, Midwest - Third Round","2014","3","22",51,66,5,"Saint Louis",4,"Louisville"
"245","NCAA, West - Third Round","2014","3","22",63,44,4,"San Diego State",12,"North Dakota State"
"246","NCAA, West - Third Round","2014","3","23",61,84,8,"Gonzaga",1,"Arizona"
"247","NCAA, East - Third Round","2014","3","23",78,60,1,"Virginia",8,"Memphis"
"248","NCAA, Midwest - Third Round","2014","3","23",76,78,1,"Wichita State",8,"Kentucky"
"249","NCAA, South - Third Round","2014","3","23",60,57,10,"Stanford",2,"Kansas"
"250","NCAA, West - Third Round","2014","3","23",55,85,3,"Creighton",6,"Baylor"
"251","NCAA, East - Third Round","2014","3","23",83,85,6,"UNC",3,"Iowa State"
"252","NCAA, South - Third Round","2014","3","23",77,60,4,"UCLA",12,"Stephen F Austin"
"253","NCAA, Midwest - Third Round","2014","3","23",83,63,11,"Tennessee",14,"Mercer"
"254","NCAA, West - Regional Semifinal","2014","3","27",64,70,4,"San Diego State",1,"Arizona"
"255","NCAA, South - Regional Semifinal","2014","3","27",68,79,4,"UCLA",1,"Florida"
"256","NCAA, West - Regional Semifinal","2014","3","27",69,52,2,"Wisconsin",6,"Baylor"
"257","NCAA, South - Regional Semifinal","2014","3","27",72,82,10,"Stanford",11,"Dayton"
"258","NCAA, East - Regional Semifinal","2014","3","28",59,61,1,"Virginia",4,"Michigan State"
"259","NCAA, Midwest - Regional Semifinal","2014","3","28",71,73,11,"Tennessee",2,"Michigan"
"260","NCAA, East - Regional Semifinal","2014","3","28",76,81,3,"Iowa State",7,"UConn"
"261","NCAA, Midwest - Regional Semifinal","2014","3","28",69,74,4,"Louisville",8,"Kentucky"
"262","NCAA, South - Regional Final","2014","3","29",62,52,1,"Florida",11,"Dayton"
"263","NCAA, West - Regional Final","2014","3","29",64,63,2,"Wisconsin",1,"Arizona"
"264","NCAA, Midwest - Regional Final","2014","3","30",72,75,2,"Michigan",8,"Kentucky"
"265","NCAA, East - Regional Final","2014","3","30",54,60,4,"Michigan State",7,"UConn"
"266","NCAA, National - National Semifinal","2014","4","5",53,63,1,"Florida",7,"UConn"
"267","NCAA, National - National Semifinal","2014","4","5",73,74,2,"Wisconsin",8,"Kentucky"
"268","NCAA, National - National Final","2014","4","7",54,60,8,"Kentucky",7,"UConn"
"269","NCAA, West - First Round","2015","3","17",94,90,11,"Ole Miss",11,"BYU"
"270","NCAA, Midwest - First Round","2015","3","17",64,74,16,"Manhattan",16,"Hampton"
"271","NCAA, East - First Round","2015","3","18",56,55,11,"Dayton",11,"Boise State"
"272","NCAA, South - First Round","2015","3","18",81,77,16,"Robert Morris",16,"North Florida"
"273","NCAA, Midwest - Second Round","2015","3","19",79,56,1,"Kentucky",16,"Hampton"
"274","NCAA, East - Second Round","2015","3","19",93,52,1,"Villanova",16,"Lafayette"
"275","NCAA, West - Second Round","2015","3","19",72,93,15,"Texas Southern",2,"Arizona"
"276","NCAA, West - Second Round","2015","3","19",57,56,14,"Georgia State",3,"Baylor"
"277","NCAA, South - Second Round","2015","3","19",59,60,3,"Iowa State",14,"UAB"
"278","NCAA, Midwest - Second Round","2015","3","19",69,65,3,"Notre Dame",14,"Northeastern"
"279","NCAA, South - Second Round","2015","3","19",84,74,4,"Georgetown",13,"Eastern Washington"
"280","NCAA, West - Second Round","2015","3","19",67,65,4,"UNC",13,"Harvard"
"281","NCAA, South - Second Round","2015","3","19",57,50,5,"Utah",12,"Stephen F Austin"
"282","NCAA, West - Second Round","2015","3","19",53,56,12,"Wofford",5,"Arkansas"
"283","NCAA, Midwest - Second Round","2015","3","19",48,56,11,"Texas",6,"Butler"
"284","NCAA, South - Second Round","2015","3","19",60,59,11,"UCLA",6,"SMU"
"285","NCAA, West - Second Round","2015","3","19",76,57,6,"Xavier",11,"Ole Miss"
"286","NCAA, West - Second Round","2015","3","19",72,75,7,"VCU",10,"Ohio State"
"287","NCAA, East - Second Round","2015","3","19",66,65,8,"NC State",9,"LSU"
"288","NCAA, Midwest - Second Round","2015","3","19",65,66,9,"Purdue",8,"Cincinnati"
"289","NCAA, South - Second Round","2015","3","20",56,85,16,"Robert Morris",1,"Duke"
"290","NCAA, West - Second Round","2015","3","20",86,72,1,"Wisconsin",16,"Coastal Carolina"
"291","NCAA, Midwest - Second Round","2015","3","20",56,75,15,"New Mexico State",2,"Kansas"
"292","NCAA, South - Second Round","2015","3","20",76,86,15,"North Dakota State",2,"Gonzaga"
"293","NCAA, East - Second Round","2015","3","20",79,67,2,"Virginia",15,"Belmont"
"294","NCAA, East - Second Round","2015","3","20",69,60,3,"Oklahoma",14,"Albany NY"
"295","NCAA, East - Second Round","2015","3","20",57,55,4,"Louisville",13,"UCIrvine"
